Namespace(n_epochs=100, batch_size=64, lr=5e-05, n_cpu=8, latent_dim=100, img_size=28, channels=1, n_critic=5, clip_value=0.01, sample_interval=3000)
[Epoch 1/100] [Batch 380/938] [D loss: -0.334573] [G loss: -12.838536]
[Epoch 1/100] [Batch 385/938] [D loss: -0.258266] [G loss: -12.836114]
[Epoch 1/100] [Batch 390/938] [D loss: -0.252529] [G loss: -12.829088]
[Epoch 1/100] [Batch 395/938] [D loss: -0.315532] [G loss: -12.782472]
[Epoch 1/100] [Batch 400/938] [D loss: -0.288861] [G loss: -12.845796]
[Epoch 1/100] [Batch 405/938] [D loss: -0.325430] [G loss: -12.827385]
[Epoch 1/100] [Batch 410/938] [D loss: -0.278383] [G loss: -12.772611]
[Epoch 1/100] [Batch 415/938] [D loss: -0.288520] [G loss: -12.813692]
[Epoch 1/100] [Batch 420/938] [D loss: -0.253093] [G loss: -12.799495]
[Epoch 1/100] [Batch 425/938] [D loss: -0.294567] [G loss: -12.789964]
[Epoch 1/100] [Batch 430/938] [D loss: -0.291823] [G loss: -12.761418]
[Epoch 1/100] [Batch 435/938] [D loss: -0.189208] [G loss: -12.764642]
[Epoch 1/100] [Batch 440/938] [D loss: -0.326289] [G loss: -12.697483]
[Epoch 1/100] [Batch 445/938] [D loss: -0.384828] [G loss: -12.667187]
[Epoch 1/100] [Batch 450/938] [D loss: -0.154181] [G loss: -12.736684]
[Epoch 1/100] [Batch 455/938] [D loss: -0.320199] [G loss: -12.652225]
[Epoch 1/100] [Batch 460/938] [D loss: -0.266630] [G loss: -12.693670]
[Epoch 1/100] [Batch 465/938] [D loss: -0.210917] [G loss: -12.650371]
[Epoch 1/100] [Batch 470/938] [D loss: -0.226143] [G loss: -12.620389]
[Epoch 1/100] [Batch 475/938] [D loss: -0.161846] [G loss: -12.645545]
[Epoch 1/100] [Batch 480/938] [D loss: -0.318038] [G loss: -12.603462]
[Epoch 1/100] [Batch 485/938] [D loss: -0.255497] [G loss: -12.571490]
[Epoch 1/100] [Batch 490/938] [D loss: -0.156113] [G loss: -12.609427]
[Epoch 1/100] [Batch 495/938] [D loss: -0.196923] [G loss: -12.607908]
[Epoch 1/100] [Batch 500/938] [D loss: -0.104058] [G loss: -12.619620]
[Epoch 1/100] [Batch 505/938] [D loss: -0.150045] [G loss: -12.622902]
[Epoch 1/100] [Batch 510/938] [D loss: -0.124531] [G loss: -12.613045]
[Epoch 1/100] [Batch 515/938] [D loss: -0.265573] [G loss: -12.635025]
[Epoch 1/100] [Batch 520/938] [D loss: -0.214664] [G loss: -12.616141]
[Epoch 1/100] [Batch 525/938] [D loss: -0.210477] [G loss: -12.615408]
